name,address,category,phone,website,rating,total_ratings,lat,lng,types,hours,place_id
ProCare Lakeland HVAC Repair,"5902 Woodhaven Dr, Lakeland, FL 33811, USA",Hvac Contractor,(863) 351-0854,https://procarelakelandhvacexperts.com/,5,25,27.9580146,-82.0231292,"establishment,general_contractor,point_of_interest","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",ChIJY8wX0eA73YgRQ5vsOHDacLs
Enjoy Heating & Cooling,"2229 E Main St, Lakeland, FL 33801, USA",Hvac Contractor,(863) 667-3200,http://www.enjoyac.com/,4.9,172,28.0444431,-81.9146608,"establishment,general_contractor,point_of_interest","[""Monday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]",ChIJOSGzXD0_3YgRLYBG2kE6uQM
American Air Repair,"1819 Blazers Trail, Lakeland, FL 33809, USA",Hvac Contractor,(813) 802-2183,https://americanairrepairllc.com/?utm_source=omg-gbp&utm_medium=webclick,5,352,28.200166,-81.9856363,"establishment,general_contractor,point_of_interest","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",ChIJAQCUIw2SwogRKL9MJIEIhXQ
CAMS A/c -N- Plumbing,"2315 Timbercreek Loop E, Lakeland, FL 33805, USA",Hvac Contractor,(863) 279-8743,https://www.camsairconditioning.com/,5,109,28.0740428,-81.8896783,"establishment,general_contractor,point_of_interest","[""Monday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Saturday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Sunday: Closed""]",ChIJ_16NAVxB3YgRBpWkqwb3M-0
Payne Air Conditioning & Heating,"1048 E Oleander St, Lakeland, FL 33801, USA",Hvac Contractor,(863) 282-7984,https://payneair.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.6,468,28.0469666,-81.9433304,"establishment,general_contractor,point_of_interest","[""Monday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Saturday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Sunday: Closed""]",ChIJS_fxaE8_3YgR4tJiAJIxKk8
Egberts Electric and Air Conditioning,"5675 New Tampa Hwy suite 12, Lakeland, FL 33815, USA",Hvac Contractor,(863) 262-7465,https://egbertsair.com/heat-pump-repair-in-lakeland-fl/?utm_source=google&utm_medium=organic&utm_campaign=gbp_lakeland,4.8,1611,28.0329528,-82.03307149999999,"electrician,establishment,general_contractor,point_of_interest","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",ChIJu_QuhSGKNmER3iqBItztcdQ
One Hour Air Conditioning & Heating,"803 Lakeland Park Center Dr, Lakeland, FL 33809, USA",Hvac Contractor,(863) 213-0644,https://lakelandonehour.com/?utm_source=GBP&utm_medium=organic&utm_campaign=lakelandgbp,4.8,1961,28.0903949,-81.964524,"establishment,general_contractor,point_of_interest","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",ChIJnUa1cFcV3YgRerD3K0Y6VQQ
Wards Air Conditioning,"865 Creative Dr, Lakeland, FL 33813, USA",Hvac Contractor,(863) 225-7202,https://www.wardsairconditioning.com/,4.7,328,27.9634926,-81.97118739999999,"establishment,general_contractor,point_of_interest,store","[""Monday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]",ChIJQRGQkuY73YgReCPl2nVAkzo
Iceberg Home Services N Lakeland,"5515 US Hwy 98 N #5, Lakeland, FL 33809, USA",Hvac Contractor,(863) 216-6375,https://icebergcooling.com/,4.9,46,28.1140874,-81.97336659999999,"establishment,general_contractor,plumber,point_of_interest","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",ChIJA-uLYvVH3YgRirwS8tSHu54
"Springer Bros. Air Conditioning & Heating, LLC","412 Dixie Hwy, Auburndale, FL 33823, USA",Hvac Contractor,(863) 967-0449,https://springerbros.net/?utm_source=Website&utm_medium=GMB,4.9,1489,28.0743267,-81.81913589999999,"establishment,general_contractor,point_of_interest,store","[""Monday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]",ChIJ2TvwFSFr3YgR6dKkjvYVILo
Stuart's Plumbing,"3233 US-98, Lakeland, FL 33803, USA",Plumber,(863) 877-3108,http://www.stuartsplumbing.com/,4.9,1558,28.0086589,-81.9089091,"establishment,plumber,point_of_interest","[""Monday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]",ChIJrfNtOf0-3YgRLPkB8twx33w
Vanguard Plumbing,"4030 Kidron Rd Suite 7, Lakeland, FL 33811, USA",Plumber,(863) 343-1540,https://vanguardpl.com/,4.8,514,27.9942268,-82.0298755,"establishment,plumber,point_of_interest","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: 8:00\u202fAM\u2009\u2013\u20093:00\u202fPM"", ""Sunday: Closed""]",ChIJe8fO4MxB8IYRsiUyC48OpCI
Benjamin Franklin Plumbing,"803 Lakeland Park Center Dr, Lakeland, FL 33809, USA",Plumber,(863) 322-0012,https://lakelandbenjaminfranklin.com/?utm_source=GBP&utm_medium=organic&utm_campaign=lakelandgbp,4.8,932,28.0903949,-81.964524,"establishment,plumber,point_of_interest","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",ChIJ_XCDHQBH3YgRxmEtyICTrGo
All Pro Plumbing & Air,"3825 Florida Ave S Suite 4B, Lakeland, FL 33813, USA",Plumber,(813) 616-1851,https://callthepro.com/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-profile-lakeland,4.6,343,27.9949761,-81.95787469999999,"establishment,general_contractor,home_goods_store,plumber,point_of_interest","[""Monday: 7:30\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Tuesday: 7:30\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Wednesday: 7:30\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Thursday: 7:30\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Friday: 7:30\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Saturday: 8:00\u202fAM\u2009\u2013\u20092:00\u202fPM"", ""Sunday: Closed""]",ChIJYcvckI453YgRr19BhoVC0A8
Pro Plumbing LLC,"1457 E Gary Rd, Lakeland, FL 33801, USA",Plumber,(863) 669-1905,http://originalplumber.com/,4.8,29,28.0492961,-81.93483959999999,"establishment,plumber,point_of_interest","[""Monday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]",ChIJ7_K5GEM_3YgRU34mB_kTVTI
Richard C Fox Plumbing,"1103 Lakeland Hills Blvd, Lakeland, FL 33805, USA",Plumber,(863) 816-9414,https://richardfoxplumbing.com/,4.4,156,28.0571482,-81.9530407,"establishment,plumber,point_of_interest,store","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",ChIJN_AvWbQ43YgRZGD-T4fvwP8
1-Tom-Plumber,"5715 Ross Creek Rd, Lakeland, FL 33810, USA",Plumber,(863) 225-1411,https://www.1tomplumber.com/lakeland-fl/,5,403,28.1174679,-82.0176346,"establishment,plumber,point_of_interest","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",ChIJ448gR4xH3YgR_58z3_phMcc
Gillum-Waddell Plumbing Co,"2450 Commerce Point Dr, Lakeland, FL 33801, USA",Plumber,(863) 665-6222,http://www.gwplb.com/,4.6,141,28.0172971,-81.9101388,"establishment,plumber,point_of_interest","[""Monday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]",ChIJxQwIfgA_3YgRhO7T40nRu6I
OnDeck Plumbing - Lakeland Plumber,"3702 Century Blvd, Lakeland, FL 33811, USA",Plumber,(863) 640-1922,https://ondeckplumbing.com/,4.7,110,27.9976497,-82.01125669999999,"establishment,general_contractor,plumber,point_of_interest,store","[""Monday: 7:30\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Tuesday: 7:30\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Wednesday: 7:30\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Thursday: 7:30\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Friday: 7:30\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]",ChIJkSAtjWI53YgREWT_YitYwsU
"Centerstate Plumbing Services, LLC","3110 Reynolds Rd #123, Lakeland, FL 33803, USA",Plumber,(863) 669-6008,http://www.centerstateplumbing.com/,4.9,43,28.0074921,-81.89013349999999,"establishment,plumber,point_of_interest","[""Monday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]",ChIJc-j9lL053YgRToeLHufDGJ4
Top Notch Plumbers Lakeland,"134 Courtland Cir, Lakeland, FL 33803, USA",Plumber,(863) 400-2727,,5,57,28.0129442,-81.9563697,"establishment,plumber,point_of_interest","[""Monday: 7:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Tuesday: 7:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Wednesday: 7:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Thursday: 7:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Friday: 7:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Saturday: 7:00\u202fAM\u2009\u2013\u20097:00\u202fPM"", ""Sunday: 7:00\u202fAM\u2009\u2013\u20097:00\u202fPM""]",ChIJGaOXlr_8yEUR6rYUyRrrt4k
Samco Plumbing Inc,"3837 Progress Dr, Lakeland, FL 33811, USA",Plumber,(863) 509-1718,https://www.samcoplumbing.com/,4.7,139,27.9947029,-82.0417587,"establishment,plumber,point_of_interest","[""Monday: 7:30\u202fAM\u2009\u2013\u20094:30\u202fPM"", ""Tuesday: 7:30\u202fAM\u2009\u2013\u20094:30\u202fPM"", ""Wednesday: 7:30\u202fAM\u2009\u2013\u20094:30\u202fPM"", ""Thursday: 7:30\u202fAM\u2009\u2013\u20094:30\u202fPM"", ""Friday: 7:30\u202fAM\u2009\u2013\u20094:30\u202fPM"", ""Saturday: 9:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Sunday: 9:00\u202fAM\u2009\u2013\u20094:00\u202fPM""]",ChIJsaSCa1833YgRASNc93e3AC8
True Plumbers & AC,"3705 Frontage Rd N, Lakeland, FL 33810, USA",Plumber,(863) 667-6364,https://trueplumbers.com/plant-city?utm_source=GMBlisting&utm_medium=Organic,4.8,1092,28.0491833,-82.02064,"establishment,general_contractor,plumber,point_of_interest","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",ChIJcw_Uq0053YgRehfUYgCinOw
Reel Plumbers of Central Florida,"6155 Florida Ave S, Lakeland, FL 33813, USA",Plumber,(863) 450-8908,,4.9,112,27.954283,-81.96939490000001,"establishment,plumber,point_of_interest","[""Monday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]",ChIJbZKQnPE73YgRzxsfy2Eruy8
Before You Dig LLC,"1221 Edgewater Dr, Lakeland, FL 33805, USA",Plumber,(863) 267-4852,https://bydservices.com/clogged-drains/,5,238,28.0562507,-81.93979019999999,"establishment,plumber,point_of_interest","[""Monday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Saturday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM"", ""Sunday: 8:00\u202fAM\u2009\u2013\u20098:00\u202fPM""]",ChIJkcRo_uY_3YgRnHTwnWUm_4c
AP Drain Service LLC Plumbing And Septic,"4856 S Dossey Rd, Lakeland, FL 33811, USA",Plumber,(863) 617-2121,http://www.apdrainservice.com/,4.9,59,27.977672,-81.977175,"establishment,plumber,point_of_interest","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",ChIJP7jNEAE53YgRuMUWA_byeQ4
Plumb Pro,"4237 Holden Rd, Lakeland, FL 33811, USA",Plumber,(813) 442-5599,https://www.plumbpro-llc.com/,4.9,74,27.9880144,-82.0014279,"establishment,plumber,point_of_interest","[""Monday: 8:00\u202fAM\u2009\u2013\u20099:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20099:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20099:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20099:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20099:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]",ChIJ_00pFzI53YgRR25EcxbKlKs
Smith’s Repairs and Services LLC,"815 Shadow Dr, Lakeland, FL 33809, USA",Plumber,(813) 860-8461,https://www.smithsrepairsandservices.com/,5,13,28.1149138,-81.97049229999999,"establishment,plumber,point_of_interest","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",ChIJc4L_qzJffCMRTh6xkhgxvjI
True Plumbers & AC,"4000 N Frontage Rd, Plant City, FL 33565, USA",Plumber,(863) 667-6364,https://trueplumbers.com/lakeland?utm_source=GMBlisting&utm_medium=Organic,4.8,694,28.0374973,-82.06527270000001,"establishment,general_contractor,plumber,point_of_interest","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",ChIJoV5mi9U53YgR4zPgW94qca8
Stronghold Roofing & Solar,"Martin Luther, 505 Martin L King Jr Ave, Lakeland, FL 33815, USA",Roofing Contractor,(863) 400-3323,https://strongholdroofing.com/?utm_campaign=gmb&utm_medium=gmb&utm_source=google,4.9,441,28.0487745,-81.96102789999999,"establishment,point_of_interest,roofing_contractor","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",ChIJW6T1iuE73YgR66VLy7O-gEE
K.L. Smith Inc.,"2519 Buckskin Rd, Lakeland, FL 33801, USA",Roofing Contractor,(863) 500-7611,https://www.klsmithinc.com/,4.9,269,28.014689,-81.87333389999999,"establishment,point_of_interest,roofing_contractor","[""Monday: 8:30\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 8:30\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 8:30\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 8:30\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 8:30\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]",ChIJm3z3DNM_3YgRnFJHwZeLOCQ
RIG Roofing of Lakeland,"122 E Main St #173, Lakeland, FL 33801, USA",Roofing Contractor,(863) 294-4477,https://rigroofing.com/service-area/polk-county/lakeland,4.8,164,28.0442779,-81.9564427,"establishment,general_contractor,point_of_interest,roofing_contractor","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",ChIJs0WSiOk53YgRBeeWEHKPTiw
