name,address,category,phone,website,rating,total_ratings,lat,lng,types,place_id
Payne Air Conditioning & Heating,"1048 E Oleander St, Lakeland, FL 33801, USA",Hvac Contractor,(863) 282-7984,https://payneair.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.6,468,28.0469666,-81.9433304,"establishment,general_contractor,point_of_interest",ChIJS_fxaE8_3YgR4tJiAJIxKk8
One Hour Air Conditioning & Heating,"803 Lakeland Park Center Dr, Lakeland, FL 33809, USA",Hvac Contractor,(863) 213-0644,https://lakelandonehour.com/?utm_source=GBP&utm_medium=organic&utm_campaign=lakelandgbp,4.8,1959,28.0903949,-81.964524,"establishment,general_contractor,point_of_interest",ChIJnUa1cFcV3YgRerD3K0Y6VQQ
Wards Air Conditioning,"865 Creative Dr, Lakeland, FL 33813, USA",Hvac Contractor,(863) 225-7202,https://www.wardsairconditioning.com/,4.7,330,27.9634926,-81.97118739999999,"establishment,general_contractor,point_of_interest,store",ChIJQRGQkuY73YgReCPl2nVAkzo
"Springer Bros. Air Conditioning & Heating, LLC","412 Dixie Hwy, Auburndale, FL 33823, USA",Hvac Contractor,(863) 967-0449,https://springerbros.net/?utm_source=Website&utm_medium=GMB,4.9,1489,28.0743267,-81.81913589999999,"establishment,general_contractor,point_of_interest,store",ChIJ2TvwFSFr3YgR6dKkjvYVILo
Iceberg Home Services N Lakeland,"5515 US Hwy 98 N #5, Lakeland, FL 33809, USA",Hvac Contractor,(863) 216-6375,https://icebergcooling.com/,4.9,46,28.1140874,-81.97336659999999,"establishment,general_contractor,plumber,point_of_interest",ChIJA-uLYvVH3YgRirwS8tSHu54
Frank Gay Services,"6810 New Tampa Hwy #200, Lakeland, FL 33815, USA",Hvac Repair,(863) 315-5698,https://frankgayservices.com/service-area/lakeland/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*106*frank-gay-lakeland,4.8,4525,28.0295048,-82.0449965,"electrician,establishment,general_contractor,plumber,point_of_interest",ChIJS5KfaMo33YgRf4uJOfsQoII
Acu-Temp Heating & Cooling,"1090 N Galloway Rd, Lakeland, FL 33810, USA",Air Conditioning,(863) 682-3803,http://www.acu-temp.com/,4.8,130,28.0583894,-82.01749869999999,"establishment,general_contractor,point_of_interest",ChIJLU4BEpw_3YgRAKOftU3_DwM
Polk Air Conditioning & Heating,"1925 Thornhill Rd Suite 2009, Auburndale, FL 33823, USA",Air Conditioning,(863) 968-2004,https://polkairconditioning.net/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Auburndale-FL,4.9,1053,28.0479346,-81.8128636,"establishment,general_contractor,point_of_interest,store",ChIJz5uz6tEU3YgRh-2s8rA8JaY
Stuart's Plumbing,"3233 US-98, Lakeland, FL 33803, USA",Plumber,(863) 877-3108,http://www.stuartsplumbing.com/,4.9,1558,28.0086589,-81.9089091,"establishment,plumber,point_of_interest",ChIJrfNtOf0-3YgRLPkB8twx33w
Vanguard Plumbing,"4030 Kidron Rd Suite 7, Lakeland, FL 33811, USA",Plumber,(863) 343-1540,https://vanguardpl.com/,4.8,514,27.9942268,-82.0298755,"establishment,plumber,point_of_interest",ChIJe8fO4MxB8IYRsiUyC48OpCI
Benjamin Franklin Plumbing,"803 Lakeland Park Center Dr, Lakeland, FL 33809, USA",Plumber,(863) 322-0012,https://lakelandbenjaminfranklin.com/?utm_source=GBP&utm_medium=organic&utm_campaign=lakelandgbp,4.8,932,28.0903949,-81.964524,"establishment,plumber,point_of_interest",ChIJ_XCDHQBH3YgRxmEtyICTrGo
All Pro Plumbing & Air,"3825 Florida Ave S Suite 4B, Lakeland, FL 33813, USA",Plumber,(813) 616-1851,https://callthepro.com/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-profile-lakeland,4.6,343,27.9949761,-81.95787469999999,"establishment,general_contractor,home_goods_store,plumber,point_of_interest",ChIJYcvckI453YgRr19BhoVC0A8
Pro Plumbing LLC,"1457 E Gary Rd, Lakeland, FL 33801, USA",Plumber,(863) 669-1905,http://originalplumber.com/,4.8,29,28.0492961,-81.93483959999999,"establishment,plumber,point_of_interest",ChIJ7_K5GEM_3YgRU34mB_kTVTI
Richard C Fox Plumbing,"1103 Lakeland Hills Blvd, Lakeland, FL 33805, USA",Plumber,(863) 816-9414,https://richardfoxplumbing.com/,4.4,156,28.0571482,-81.9530407,"establishment,plumber,point_of_interest,store",ChIJN_AvWbQ43YgRZGD-T4fvwP8
1-Tom-Plumber,"5715 Ross Creek Rd, Lakeland, FL 33810, USA",Plumber,(863) 225-1411,https://www.1tomplumber.com/lakeland-fl/,5,403,28.1174679,-82.0176346,"establishment,plumber,point_of_interest",ChIJ448gR4xH3YgR_58z3_phMcc
OnDeck Plumbing - Lakeland Plumber,"3702 Century Blvd, Lakeland, FL 33811, USA",Plumber,(863) 640-1922,https://ondeckplumbing.com/,4.7,110,27.9976497,-82.01125669999999,"establishment,general_contractor,plumber,point_of_interest,store",ChIJkSAtjWI53YgREWT_YitYwsU
Gillum-Waddell Plumbing Co,"2450 Commerce Point Dr, Lakeland, FL 33801, USA",Plumber,(863) 665-6222,http://www.gwplb.com/,4.6,141,28.0172971,-81.9101388,"establishment,plumber,point_of_interest",ChIJxQwIfgA_3YgRhO7T40nRu6I
"Centerstate Plumbing Services, LLC","3110 Reynolds Rd #123, Lakeland, FL 33803, USA",Plumber,(863) 669-6008,http://www.centerstateplumbing.com/,4.9,43,28.0074921,-81.89013349999999,"establishment,plumber,point_of_interest",ChIJc-j9lL053YgRToeLHufDGJ4
Top Notch Plumbers Lakeland,"134 Courtland Cir, Lakeland, FL 33803, USA",Plumber,(863) 400-2727,,5,57,28.0129442,-81.9563697,"establishment,plumber,point_of_interest",ChIJGaOXlr_8yEUR6rYUyRrrt4k
Samco Plumbing Inc,"3837 Progress Dr, Lakeland, FL 33811, USA",Plumber,(863) 509-1718,https://www.samcoplumbing.com/,4.7,139,27.9947029,-82.0417587,"establishment,plumber,point_of_interest",ChIJsaSCa1833YgRASNc93e3AC8
True Plumbers & AC,"3705 Frontage Rd N, Lakeland, FL 33810, USA",Plumber,(863) 667-6364,https://trueplumbers.com/plant-city?utm_source=GMBlisting&utm_medium=Organic,4.8,1093,28.0491833,-82.02064,"establishment,general_contractor,plumber,point_of_interest",ChIJcw_Uq0053YgRehfUYgCinOw
Reel Plumbers of Central Florida,"6155 Florida Ave S, Lakeland, FL 33813, USA",Plumber,(863) 450-8908,,4.9,112,27.954283,-81.96939490000001,"establishment,plumber,point_of_interest",ChIJbZKQnPE73YgRzxsfy2Eruy8
Before You Dig LLC,"1221 Edgewater Dr, Lakeland, FL 33805, USA",Plumber,(863) 267-4852,https://bydservices.com/clogged-drains/,5,238,28.0562507,-81.93979019999999,"establishment,plumber,point_of_interest",ChIJkcRo_uY_3YgRnHTwnWUm_4c
Plumb Pro,"4237 Holden Rd, Lakeland, FL 33811, USA",Plumber,(813) 442-5599,https://www.plumbpro-llc.com/,4.9,74,27.9880144,-82.0014279,"establishment,plumber,point_of_interest",ChIJ_00pFzI53YgRR25EcxbKlKs
AP Drain Service LLC Plumbing And Septic,"4856 S Dossey Rd, Lakeland, FL 33811, USA",Plumber,(863) 617-2121,http://www.apdrainservice.com/,4.9,59,27.977672,-81.977175,"establishment,plumber,point_of_interest",ChIJP7jNEAE53YgRuMUWA_byeQ4
Smith’s Repairs and Services LLC,"815 Shadow Dr, Lakeland, FL 33809, USA",Plumber,(813) 860-8461,https://www.smithsrepairsandservices.com/,5,13,28.1149138,-81.97049229999999,"establishment,plumber,point_of_interest",ChIJc4L_qzJffCMRTh6xkhgxvjI
True Plumbers & AC,"4000 N Frontage Rd, Plant City, FL 33565, USA",Plumber,(863) 667-6364,https://trueplumbers.com/lakeland?utm_source=GMBlisting&utm_medium=Organic,4.8,694,28.0374973,-82.06527270000001,"establishment,general_contractor,plumber,point_of_interest",ChIJoV5mi9U53YgR4zPgW94qca8
Lakeland | Plumbing Repairs,"3229 US Hwy 98 N, Lakeland, FL 33805, USA",Plumbing Repair,(863) 333-5252,https://www.plumbinglakeland.com/contact-page,5,1,28.0830716,-81.9677565,"establishment,point_of_interest",ChIJX0t8kkZH3YgR-kqBHZDcqDQ
Roto-Rooter Plumbing & Drain Services,"2306 Old Combee Rd #101, Lakeland, FL 33805, USA",Emergency Plumber,(863) 940-4270,https://www.rotorooter.com/lakeland/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,4.7,925,28.1063694,-81.9141975,"establishment,general_contractor,plumber,point_of_interest",ChIJeTgKsqk_3YgRSGWdxYR--1w
Stronghold Roofing & Solar,"Martin Luther, 505 Martin L King Jr Ave, Lakeland, FL 33815, USA",Roofing Contractor,(863) 400-3323,https://strongholdroofing.com/?utm_campaign=gmb&utm_medium=gmb&utm_source=google,4.9,441,28.0487745,-81.96102789999999,"establishment,point_of_interest,roofing_contractor",ChIJW6T1iuE73YgR66VLy7O-gEE
K.L. Smith Inc.,"2519 Buckskin Rd, Lakeland, FL 33801, USA",Roofing Contractor,(863) 500-7611,https://www.klsmithinc.com/,4.9,269,28.014689,-81.87333389999999,"establishment,point_of_interest,roofing_contractor",ChIJm3z3DNM_3YgRnFJHwZeLOCQ
RIG Roofing of Lakeland,"122 E Main St #173, Lakeland, FL 33801, USA",Roofing Contractor,(863) 294-4477,https://rigroofing.com/service-area/polk-county/lakeland,4.8,164,28.0442779,-81.9564427,"establishment,general_contractor,point_of_interest,roofing_contractor",ChIJs0WSiOk53YgRBeeWEHKPTiw
High Tower Roofing,"5302 Florida Ave S STE 208, Lakeland, FL 33813, USA",Roofing Contractor,(863) 510-5477,http://hightowerroofing.com/,4.8,594,27.9692758,-81.96185349999999,"establishment,point_of_interest,roofing_contractor",ChIJ9Vxtdf073YgRlw_aFMY5a80
Priority Roofing,"4460 Florida National Dr Suite 4460-2, Lakeland, FL 33813, USA",Roofing Contractor,(863) 701-4746,https://priorityroofs.com/location/lakeland/,4.9,115,27.984027,-81.95831869999999,"establishment,point_of_interest,roofing_contractor",ChIJT8mR1ok53YgRw2egCUXhGik
Musick Roofing,"3600 County Line Rd, Lakeland, FL 33811, USA",Roofing Contractor,(863) 904-5350,http://www.musickroofing.com/,4.9,205,27.9992613,-82.0553343,"establishment,general_contractor,point_of_interest,roofing_contractor",ChIJX7-Mp6Y53YgRkDtPny6-kxc
Lakeland Roofing Installation,"3823 Old Salem Rd, Lakeland, FL 33811, USA",Roofing Contractor,(863) 250-2766,,4.9,37,27.9953118,-81.9978393,"establishment,point_of_interest,roofing_contractor",ChIJ4-N2SCg73YgRPsDW5v-OiVQ
Gullett Roofing,"535 Bracey Rd, Lakeland, FL 33809, USA",Roofing Contractor,(863) 412-2821,http://www.gullettroofing.com/,5,169,28.16136,-81.96484199999999,"establishment,point_of_interest,roofing_contractor",ChIJdRXew4RH3YgRbP5qENk6HEA
"Ring Roofing, Inc.","1329 E Main St, Lakeland, FL 33801, USA",Roofing Contractor,(863) 337-5139,https://www.ringroofingfl.com/,4.2,61,28.0438655,-81.9379106,"establishment,point_of_interest,roofing_contractor",ChIJeR1oZFA_3YgRYKg4TnhbFbA
Five Points Roofing,"2587 Colonel Ford Dr, Lakeland, FL 33813, USA",Roofing Contractor,(863) 660-5834,https://fivepointsroofingfl.com/,5,67,27.9444859,-81.9167765,"establishment,point_of_interest,roofing_contractor",ChIJx64HM7fcmCERr32qJoXMh-0
Trimm Roofing,"2500 Drane Field Rd STE 101, Lakeland, FL 33811, USA",Roofing Contractor,(863) 276-6300,https://trimmroofing.com/,4.9,132,27.996301,-81.995254,"establishment,point_of_interest,roofing_contractor",ChIJ_XsINt853YgR5X-qaocSNfk
Eustis Roofing Company,"2500 Drane Field Rd Suite 103, Lakeland, FL 33811, USA",Roofing Contractor,(863) 340-7653,http://eustisroofing.com/?utm_campaign=GBPEustis,4.9,121,27.9962296,-81.9954434,"establishment,point_of_interest,roofing_contractor",ChIJjWdi4Wc53YgR2Rm1btQx9l4
W.D. Hutchinson Roofing LLC,"1717 W Memorial Blvd, Lakeland, FL 33815, USA",Roofing Contractor,(863) 686-3300,,5,29,28.0551041,-81.9828198,"establishment,point_of_interest,roofing_contractor",ChIJdVhcaJo43YgRxeiA3JPTl34
Goff Roof Systems,"1725 E Gary Rd, Lakeland, FL 33801, USA",Roofing Contractor,(863) 680-1748,https://goffroofsystems.com/,4.6,56,28.0424901,-81.9808173,"establishment,point_of_interest,roofing_contractor",ChIJyYC0QWg_3YgRUODkjH2w1VM
Central Florida Exterior Inc.,"1324 Olive St, Lakeland, FL 33815, USA",Roofing Contractor,(813) 478-9229,https://cfexterior.com/,4.7,72,28.0391456,-81.9761788,"establishment,point_of_interest,roofing_contractor",ChIJXzVMjuo43YgRYHlZ5LOresQ
America Top Roofing,"2420 N Crystal Lake Dr suite 204, Lakeland, FL 33801, USA",Roofing Contractor,(863) 733-2171,https://americatoproofing.com/,5,75,28.028355,-81.9097421,"establishment,point_of_interest,roofing_contractor",ChIJ7xdWJthAwEwRxlN3TZOO_Ec
Lakeland Roofing Solutions,"304 E Pine St #1211, Lakeland, FL 33801, USA",Roofing Contractor,(407) 490-2459,http://www.lakelandroofingsolutions.com/,5,2,28.0460591,-81.9548104,"establishment,point_of_interest,roofing_contractor",ChIJSXkd8js53YgRmi0V6zBumGo
Lakeland Roofing Consultants,"825 E Main St # 210, Lakeland, FL 33801, USA",Roofing Contractor,(863) 279-4604,https://lakelandroofingconsultants.com/,5,6,28.043943,-81.9479217,"establishment,point_of_interest,roofing_contractor",ChIJxdmAYUk_3YgR0PV4BU56xAM
Statewide Roofing & Sheet Metal Inc.,"851 Plateau Ave, Lakeland, FL 33815, USA",Roofing Contractor,(863) 686-1451,http://www.swrflorida.com/,4.8,42,28.0331088,-81.98816479999999,"establishment,point_of_interest,roofing_contractor",ChIJMwJqs_E43YgRQ23ynDEX-f0
ROMEO'S ROOFING LLC,"1815 Thornhill Rd Suite 309T, Auburndale, FL 33823, USA",Roofing Contractor,(863) 593-7808,http://romeosroofing.com/,4.6,34,28.0494278,-81.8130541,"establishment,point_of_interest,roofing_contractor",ChIJ35nIQ65s3YgRst16aW0A6dc
Stormwall Roofing,"1065 Florida Ave S, Lakeland, FL 33803, USA",Roof Repair,(863) 937-9774,https://stormwallroofing.com/,5,5,28.0290251,-81.9574451,"establishment,point_of_interest,roofing_contractor",ChIJG_8HW1Y53YgRokMoc3J6Ob8
Steel Roofing Systems,"3049 Drane Field Rd, Lakeland, FL 33811, USA",Metal Roofing,(863) 701-7170,,4.9,40,27.9977819,-82.0081584,"establishment,point_of_interest,roofing_contractor",ChIJj_krAZg53YgRmGuU45AiCF8
Advanced Aluminum of Polk County,"2941 Parkway St, Lakeland, FL 33811, USA",Metal Roofing,(863) 648-5787,https://www.advaluminum.com/?utm_source=google&utm_medium=local,4.4,38,27.9921728,-82.00555539999999,"establishment,point_of_interest,store",ChIJUdvOm5k53YgRW20AAYYiOqM
River Mountain Metal Roofing,"3009 Brooks St Bay 4-5, Lakeland, FL 33803, USA",Metal Roofing,(863) 337-1303,http://www.rivermountainmetalroofing.com/,5,1,28.0035566,-81.8989829,"establishment,point_of_interest,store",ChIJ90oa3-M_3YgRGguICfLZwH0
Cheap Metal Roofing,"3399 Paul Buchman Hwy, Plant City, FL 33565, USA",Metal Roofing,(813) 752-7088,https://discountmetalmart.com/,4.6,22,28.0505017,-82.13346,"establishment,point_of_interest,store",ChIJpegHpt813YgRmREBeh2NPgw
R F Lusa & Sons Sheet Metal,"1724 Fairbanks St, Lakeland, FL 33805, USA",Metal Roofing,(863) 682-0798,http://rflusa.com/,4.5,21,28.0666638,-81.9814287,"establishment,point_of_interest,roofing_contractor",ChIJwVXnImJH3YgRbywakrWGcqI
Discount Metal Mart,"3399 Paul Buchman Hwy, Plant City, FL 33565, USA",Metal Roofing,(813) 752-7088,https://discountmetalmart.com/,4.3,47,28.0504544,-82.13347069999999,"establishment,point_of_interest,store",ChIJ_0fAXd413YgRMRuoZXT660c
Tri County Metals,"5577 E County Rd 542, Winter Haven, FL 33880, USA",Metal Roofing,(863) 377-2805,https://tricountymetals.com/,4.9,74,28.0337664,-81.7890254,"establishment,point_of_interest,store",ChIJhcGmtyYV3YgRNDlMmIaoHEE
"O'Neal's Roofing Co. of Lakeland, Inc.","6950 Barbara Jean Ln, Polk City, FL 33868, USA",Metal Roofing,(863) 557-0288,http://www.onealsroofing.com/,4.9,80,28.2503226,-81.8251474,"establishment,point_of_interest,roofing_contractor",ChIJf8xMyStn3YgRNTMkTY0WgjU
SRS Building Products,"4401 US-92, Lakeland, FL 33801, USA",Metal Roofing,(863) 393-0093,https://www.srsdistribution.com/en/markets/our-brands/SRAUB/,4.4,34,28.0472972,-81.87035449999999,"establishment,point_of_interest,store",ChIJM_qUXDg43YgRWcUv12AegkQ
Precision Metal Roofing,"38623 Harlow Rose Dr, Zephyrhills, FL 33540, USA",Metal Roofing,(727) 349-3104,https://metalroofingpascocounty.com/,5,45,28.2052894,-82.17831,"establishment,point_of_interest,roofing_contractor",ChIJIfSKjqRN3YgR1Gvq_wo_W_4
Springer Peterson Roofing,"4410 Maine Ave, Lakeland, FL 33801, USA",Metal Roofing,(800) 244-1163,https://springerpeterson.com/,3.5,37,28.0119941,-81.87447329999999,"establishment,point_of_interest,roofing_contractor",ChIJB26b1Sw-3YgRo4-4u5mj9_o
Lakeland Electrician Guys,"2115 Harden Blvd, Lakeland, FL 33803, USA",Electrician,(863) 356-0154,https://www.lakelandelectricianpros.com/,5,39,28.0180787,-81.97534209999999,"electrician,establishment,point_of_interest",ChIJLUecOttVi4gRIPlDob8dSYQ
"Aveco Electrical, Inc.","4318 Holden Rd, Lakeland, FL 33811, USA",Electrician,(863) 225-5912,http://www.avecoinc.com/,4.9,92,27.9865785,-82.0011445,"electrician,establishment,point_of_interest",ChIJPSmLVOQ73YgRBgD3JcUtMK4
Atline Electric Services,"1745 E Memorial Blvd, Lakeland, FL 33801, USA",Electrician,(863) 934-1337,http://atlineelectric.com/#GMB,4.9,228,28.0515727,-81.9297332,"electrician,establishment,point_of_interest",ChIJ00wEFgVH3YgR3yF7r2gSnkc
Lewman Electric,"2930 Barneys Pumps Pl, Lakeland, FL 33812, USA",Electrician,(863) 398-0495,http://www.lewmanelectric.com/?utm_source=gbp&utm_medium=organic&utm_campaign=GoogleBusinessProfile,4.8,412,27.995125,-81.9013617,"electrician,establishment,point_of_interest",ChIJwfFf-tI93YgRC5JFtpCgDKM
Mister Sparky,"803 Lakeland Park Center Dr, Lakeland, FL 33809, USA",Electrician,(863) 213-0430,https://lakelandmistersparky.com/?utm_source=GBP&utm_medium=organic&utm_campaign=lakelandgbp,4.9,1636,28.0903949,-81.964524,"electrician,establishment,point_of_interest",ChIJ00t9JFZH3YgR9CCtlkndgMk
Always Faithful Electrical,"5337 N Socrum Loop Rd Suite 302, Lakeland, FL 33809, USA",Electrician,(863) 224-2298,https://alwaysfaithfulelectrical.com/,4.9,85,28.1113587,-81.9451586,"electrician,establishment,point_of_interest",ChIJn4b4AN5lQk4RMf18PrkEWBU
Wilson Electric Company,"230 N Ingraham Ave, Lakeland, FL 33801, USA",Electrician,(863) 682-0158,http://www.wilsonelectriccompany.com/?utm_campaign=gmb,4.6,86,28.0464785,-81.9451224,"electrician,establishment,point_of_interest",ChIJMRSjJ08_3YgRyrPAl0TJglY
LOOK Electric Co.,"1220 George Jenkins Blvd, Lakeland, FL 33815, USA",Electrician,(863) 859-2515,https://www.lookelectricco.com/,5,61,28.0431538,-81.9750595,"electrician,establishment,point_of_interest",ChIJM1nj-cM53YgRzq3QA0bRYhg
Hylton Electric LLC,"122 E Main St #115, Lakeland, FL 33801, USA",Electrician,(863) 624-7000,https://www.hylton-electric.com/,5,102,28.0443197,-81.9564222,"electrician,establishment,point_of_interest,store",ChIJdwfXpWjZ2EQRBcWsDC0skVw
Mr. Electric of Lakeland,"4927 Southfork Dr, Lakeland, FL 33813, USA",Electrician,(863) 274-3137,https://mrelectric.com/lakeland/?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic,4.8,454,27.9761619,-81.961987,"electrician,establishment,point_of_interest",ChIJZStU2HI53YgRJngS3-9oqBI
Electrical Service & Supply,"3532 Waterfield Pkwy, Lakeland, FL 33803, USA",Electrician,(863) 899-1438,https://electricalservicesupply.com/,5,25,27.999541,-81.89557219999999,"electrician,establishment,point_of_interest",ChIJTbjMr0U-3YgRk7nQZHfKQB0
DOC Electric,"1845 Gibsonia-Galloway Rd, Lakeland, FL 33810, USA",Electrician,(863) 616-3003,https://www.docelectricalservices.com/,5,316,28.1165654,-81.9854701,"electrician,establishment,point_of_interest",ChIJ1SsoqXM73YgRpRn87pZIgeg
Leaf Electric,"2020 S Combee Rd #20, Lakeland, FL 33801, USA",Electrician,(863) 377-0217,https://leafelectricfl.com/,5,23,28.0184396,-81.9071003,"electrician,establishment,point_of_interest",ChIJv2cpyI8_3YgR-vY6j6PlUEE
Bear Electric,"3237 US-98, Lakeland, FL 33803, USA",Electrician,(863) 329-2327,http://www.bearelectricllc.com/,5,17,28.0086369,-81.9087279,"electrician,establishment,point_of_interest",ChIJkwGGMPaco4oRVA-O5Q_8pv4
Mirtil Electric LLC,"930 Wilder Rd, Lakeland, FL 33809, USA",Electrician,(863) 614-8911,https://mirtilelectric.com/,5,29,28.1501193,-81.9710982,"electrician,establishment,point_of_interest",ChIJyR2S9RBH3YgRixbWJkrYmM8
AEI Electrical,"4334 Holden Rd, Lakeland, FL 33811, USA",Electrician,(863) 619-6909,http://aei-electric.com/,4.8,20,27.986558,-82.0017853,"electrician,establishment,point_of_interest",ChIJ5xYal5w53YgRLkFUnfhPFxE
Top Flight Electric,"146 Horizon Ct Suite B, Lakeland, FL 33813, USA",Electrician,(863) 313-0005,https://topflightelectric.com/,4.2,5,27.9842109,-81.9552502,"electrician,establishment,point_of_interest",ChIJc6ws9Gc53YgR-rx2-scYloM
Golden Electrician Service,"112 S Kentucky Ave, Lakeland, FL 33801, USA",Electrician,(863) 302-8631,,4,5,28.043602,-81.954872,"electrician,establishment,point_of_interest",ChIJ5X8DM7I53YgRPvU1P18--h8
"Lamar Olliff Electric, Inc.","3375 US-98 C5, Lakeland, FL 33803, USA",Electrician,(863) 666-5773,,4.7,13,28.0036773,-81.9049327,"electrician,establishment,point_of_interest",ChIJF1ljbZw_3YgRr1hS2PRHufQ
Fore Electric & Energy LLC,"2006 Edenfield Pl, Lakeland, FL 33801, USA",Electrician,(863) 937-9149,http://www.fore-electric.com/,3.9,41,28.0185833,-81.9106017,"establishment,point_of_interest",ChIJiTzUaf0-3YgRj-lnxHVkRkY
Roberts Electrical Services Inc,"5311 Kinsley Ln, Lakeland, FL 33812, USA",Electrical Repair,(863) 648-0056,,4.4,28,27.9697503,-81.911182,"electrician,establishment,point_of_interest",ChIJSesZ98M-3YgRJQFc1_VfWfQ
Natural Electric LLC,"2850 Mine and Mill Rd Ste 8, Lakeland, FL 33801, USA",Electrical Contractor,(863) 221-5059,https://usmapiz.org/details/natural-electric-llc-ChIJFam,3.8,16,28.0157807,-81.9019982,"electrician,establishment,point_of_interest",ChIJFam7CWMT3YgRJO74heHDfHs
